TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
prep-punct-punct-nsubj-dobj-prep-punct-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-attr-punct-punct,0,0,0,0,0,0,0,1,0
punct-dep-dep-advcl-punct-nsubj-prep-advmod-punct,0,0,0,0,0,0,0,1,0
nsubj-prep-prep-punct-npadvmod-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-xcomp-punct,2,0,0,0,1,0,0,2,0
xcomp,0,0,0,0,0,1,0,1,0
nsubj-aux-advmod-prep-punct,0,0,0,0,0,0,0,1,0
advcl,0,0,0,0,0,0,0,1,0
nsubj-dobj-punct-advcl-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-advmod-punct,0,0,0,0,0,0,0,1,0
advmod-nsubj-aux-advmod-dobj-prep-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-aux-advcl-punct,0,0,0,0,0,0,0,1,0
intj-punct-nsubj-attr-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advmod-punct,0,0,0,0,0,0,0,2,0
punct-nsubj-aux-dobj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep,1,0,0,0,0,0,0,2,0
advmod-punct-prep-punct-nsubj-advmod-acomp-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-aux-dobj-prep-prep-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-punct,0,0,0,0,0,0,0,3,0
nsubjpass-auxpass-prep-punct,2,0,0,0,0,0,0,9,0
advcl-punct-nsubj-aux-punct-prep-punct-xcomp-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-advmod-advcl-punct,0,0,0,0,0,0,0,1,0
aux-advmod-prep-advcl,0,0,0,0,0,0,0,1,0
nsubj-acomp-xcomp-punct,0,0,0,0,0,0,0,4,0
nsubj-dobj-advmod-punct,0,0,0,0,0,0,0,3,0
advcl-punct-nsubj-aux-xcomp-punct,0,0,0,0,0,1,0,1,0
npadvmod-csubj-aux-prep-punct,0,0,0,0,0,0,0,1,0
advcl-nsubj-dobj-prt-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-punct-advcl-punct,0,0,0,0,0,0,0,2,0
nsubj-punct,0,0,0,0,0,1,0,1,0
nsubj-advmod-dobj-punct,0,0,0,0,0,0,0,6,0
cc-acomp-nsubj-punct,0,0,0,0,0,0,0,1,0
dobj,1,0,0,0,2,0,0,3,0
punct-advcl-punct-nsubjpass-auxpass-prep-punct-punct-dobj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass-prep-prep-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-xcomp-punct,0,0,0,0,0,1,0,1,0
nsubj-aux-advmod-dobj,0,0,0,0,0,0,0,1,0
nsubj-dobj-advcl-punct,0,0,0,0,0,0,0,4,0
nsubj-dobj,0,0,0,0,0,1,0,4,0
nsubj-ccomp-advcl-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-acomp-xcomp-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-aux-dobj-punct,0,0,0,0,0,1,0,1,0
nsubj-npadvmod-aux-dobj-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-dep-xcomp-punct,0,0,0,0,0,0,0,1,0
mark-nsubj-acomp,0,0,0,0,0,0,0,1,0
aux-dobj-prep-dobj-cc-conj,0,0,0,0,0,0,0,1,0
csubj-attr-punct,0,0,0,0,0,0,0,3,0
nsubj-advmod-dobj-cc-conj,0,0,0,0,0,0,0,2,0
advmod-nsubj-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubj-xcomp-ccomp-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-prep-punct-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-dobj-prep-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-prep,0,0,0,0,1,1,0,3,0
ccomp-punct-advmod-nsubj-dobj-punct-punct,0,0,0,0,0,0,0,1,0
advmod-punct-expl-attr-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-advmod-ccomp-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-cc-conj-punct,0,0,0,0,0,0,0,1,0
prep-punct-expl-advmod-attr-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-prep-ccomp-punct,0,0,0,0,0,1,0,1,0
mark-prep-nsubjpass-auxpass-prep,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-acomp-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp,0,0,0,0,0,0,0,3,1
prep,13,0,0,0,1,1,6,4,0
cc-advcl-punct-nsubjpass-auxpass-prep-punct,0,0,0,0,0,0,0,1,0
mark-mark-nsubj-ccomp,0,0,0,0,0,0,0,1,0
aux,0,0,0,0,0,0,0,1,0
nsubj,1,0,0,0,0,1,0,1,0
punct-parataxis-punct-nsubj-acomp-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass-prep-punct-npadvmod-punct,0,0,0,0,0,0,0,1,0
nsubj-cc-conj,0,0,0,0,0,0,0,1,0
advmod-prep,0,0,0,0,0,0,0,1,0
